"Part ID", "Description", "Part Number", "Substitution
Okay", "Designators", "Footprint", "Pins", "Quantity", "Part Reference Link"
16532, "10uF 0805>=X5R>=25V<=20%", "GRT21BC71E106KE13L", Y, "C1,C3,C35", "0805", 2, 3, "=HYPERLINK("http://www.octopart.com/search?q=GRT21BC71E106KE13L")"
15331, "0.1uF 0805>=X5R>=50V<=20%", "C0805C104M5RACTU", Y, "C2,C7,C37", "0805", 2, 3, "=HYPERLINK("http://www.octopart.com/search?q=C0805C104M5RACTU")"
2131, "100uF 0805>=X5R>=10V<=20%", "GRM21BR71A106KA73K", Y, "C4,C36", "0805", 2, 2, "=HYPERLINK("http://www.octopart.com/search?q=GRM21BR71A106KA73K")"
2131, "0.47uF 0805>=X5R>=25V<=20%", "GCM21BR71H474KA55K", Y, "C5", "0805", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=GCM21BR71H474KA55K")"
2131, "47uF 7343>=X5R>=25V<=20%", "T495X476K035ATE300", Y, "C6", "Custom", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=T495X476K035ATE300")"
2131, "4.7uF 0805>=X5R>=25V<=20%", "GRM21BR61E475KA12L", Y, "C8,C11,C15,C27,C29,
C31,C33", "0805", 2, 7, "=HYPERLINK("http://www.octopart.com/search?q=GRM21BR61E475KA12L")"
15331, "0.1uF 0603>=X5R>=50V<=20%", "C0603C104M5RACTU", Y, "C9,C12,C16,C17,C20,
C23,C24,C25,C28,C30,
C32,C34", "0603", 2, 12, "=HYPERLINK("http://www.octopart.com/search?q=C0603C104M5RACTU")"
2131, "3.3uF 0805>=X5R>=25V<=20%", "GRM21BR61E335KA12L", Y, "C10", "0805", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=GRM21BR61E335KA12L")"
1940, "1nF 0603>=X5R>=50V<=20%", "C0603C102M5RACTU", Y, "C13,C22", "0603", 2, 2, "=HYPERLINK("http://www.octopart.com/search?q=C0603C102M5RACTU")"
58143, "10nF 0603>=X5R>=50V<=20%", "C0603C103M5RACTU", Y, "C14,C21,C26", "0603", 2, 3, "=HYPERLINK("http://www.octopart.com/search?q=C0603C103M5RACTU")"
2131, "18pF 0603>=X5R>=25V<=20%", "C0603C180K5RACTU", Y, "C18,C19", "0603", 2, 2, "=HYPERLINK("http://www.octopart.com/search?q=C0603C180K5RACTU")"
 , "Power", "PJ-102AH", Y, "CN1", "Custom", 3, 1, "=HYPERLINK("http://www.aliexpress.com/wholesale?SearchText=DIKAVS DC005")"
