"Part ID","Description","Part Number","Substitution
Okay","Designators","Footprint","Pins","Quantity","Part Reference Link"
14236,"10uF 1206>=X5R>=25V<=20%","CL31A106KAHNNNE",Y,"C101,C102,C110,C113","1206",2,4,"=HYPERLINK("http://www.octopart.com/search?q=CL31A106KAHNNNE")"
2131,"4.7uF 0805>=X5R>=25V<=20%","GRM21BR61E475KA12L",Y,"C103","0805",2,1,"=HYPERLINK("http://www.octopart.com/search?q=GRM21BR61E475KA12L")"
55004,"4.7nF 0603>=X5R>=25V<=20%","CL10B472KB8NNNC",Y,"C104,C201,C203,C207,
C208","0603",2,5,"=HYPERLINK("http://www.octopart.com/search?q=CL10B472KB8NNNC")"
46786,"22uF 0805>=X5R>=16V<=20%","CL21A226MOCLRNC",Y,"C105,C106,C107,C108,
C109,C305","0805",2,6,"=HYPERLINK("http://www.octopart.com/search?q=CL21A226MOCLRNC")"
29074,"1uF 0805>=X5R>=25V<=20%","CL21B105KAFNNNE",Y,"C111,C306,C307,C308,
C309","0805",2,5,"=HYPERLINK("http://www.octopart.com/search?q=CL21B105KAFNNNE")"
15331,"0.1uF 0603>=X5R>=50V<=20%","C0603C104M5RACTU",Y,"C112,C114,C117","0603",2,3,"=HYPERLINK("http://www.octopart.com/search?q=C0603C104M5RACTU")"
1940,"1nF 0603>=X5R>=50V<=20%","C0603C102M5RACTU",Y,"C115,C123","0603",2,2,"=HYPERLINK("http://www.octopart.com/search?q=C0603C102M5RACTU")"
58143,"10nF 0603>=X5R>=50V<=20%","C0603C103M5RACTU",Y,"C116","0603",2,1,"=HYPERLINK("http://www.octopart.com/search?q=C0603C103M5RACTU")"
 ,"100uF 1206>=X5R>=6.3V<=20%","GRM31CR60J107ME39K",Y,"C118","1206",2,1,"=HYPERLINK("http://www.octopart.com/search?q=GRM31CR60J107ME39K")"
 ,"10pF 0805NP0>=50V<=5%","CC0805JRNPO9BN100",Y,"C119,C121","0805",2,2,"=HYPERLINK("http://www.octopart.com/search?q=CC0805JRNPO9BN100")"
