"Part ID", "Description", "Part Number", "Substitution
Okay", "Designators", "Footprint", "Pins", "Quantity", "Part Reference Link"
15331, "0.1uF 0603>=X5R>=50V<=20%", "C0603C104M5RACTU", Y, "C201,C202,C203,C210,
C211,C212,C216,C219,
C224,C225,C226,C227,
C228,C229,C230,C231,
C233,C234,C235,C236,
C237,C239,C240,C245,
C246,C248,C249,C250,
C251,C252,C253,C254,
C255,C256,C257,C258,
C259,C401,C402,C409,
C410,C411,C412,C414,
C415,C416,C425,C426,
C427,C428,C437,C438", "0603", 2, 52, "=HYPERLINK("http://www.octopart.com/search?q=C0603C104M5RACTU")"
1940, "1nF 0603>=X5R>=50V<=20%", "C0603C102M5RACTU", Y, "C204,C205,C206,C217,
C417,C418,C419,C420", "0603", 2, 8, "=HYPERLINK("http://www.octopart.com/search?q=C0603C102M5RACTU")"
58143, "10nF 0603>=X5R>=50V<=20%", "C0603C103M5RACTU", Y, "C207,C208,C209,C218,
C241,C242,C243,C421,
C422,C423,C424", "0603", 2, 11, "=HYPERLINK("http://www.octopart.com/search?q=C0603C103M5RACTU")"
 , "100uF 1206>=X5R>=6.3V<=20%", "GRM31CR60J107ME39K", Y, "C213,C214,C215,C220", "1206", 2, 4, "=HYPERLINK("http://www.octopart.com/search?q=GRM31CR60J107ME39K")"
20411, "10uF 0603>=X5R>=6.3V<=20%", "GRM188R60J106KE47D", Y, "C221,C222,C223,C232,
C238,C244,C247,C433,
C434,C435,C436", "0603", 2, 11, "=HYPERLINK("http://www.octopart.com/search?q=GRM188R60J106KE47D")"
2142, "100pF 0805NP0>=50V<=5%", "CC0805JRNPO0BN101", N, "C403", "0805", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=CC0805JRNPO0BN101")"
 , "180pF 0805NP0>=50V<=5%", "CC0805JRNPO0BN181", N, "C405", "0805", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=CC0805JRNPO0BN181")"
2137, "10pF 0805NP0>=50V<=5%", "CC0805JRNPO9BN100", Y, "C406", "0805", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=CC0805JRNPO9BN100")"
14236, "10uF 1206>=X5R>=25V<=20%", "CL31A106KAHNNNE", Y, "C408", "1206", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=CL31A106KAHNNNE")"
 , "8.2pF 0805NP0>=25V<=5%", "CL21C8R2DBANNNC", Y, "C413", "0805", 2, 1, "=HYPERLINK("http://www.octopart.com/search?q=CL21C8R2DBANNNC")"
